pde,r,reference_scope,scope_label,evaluation_scope,weighting,n_model_seeds,n_modes,mode_min,mode_max,mean_rmse_pde_reference,mean_rmse_identity,mean_delta_identity_minus_pde,mean_delta_ci_lower,mean_delta_ci_upper,fraction_model_seeds_closer_to_pde,confidence_level,bootstrap_replicates,bootstrap_seed,resampling_unit,interpretation
heat,0.4,full_one_step,k6_8_uniform,near_support_k6_8,uniform,20,3,6,8,0.16925976210658766,0.01908746895832831,-0.15017229314825936,-0.1520945123691395,-0.14809036372155618,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
heat,0.4,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,20,24,9,32,1.1350901087349292,0.01882088399633919,-1.1162692247385904,-1.1180859257497913,-1.1142208334665933,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
lf,0.1,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,20,5,1,5,0.01799159186177258,0.021074496924084245,0.00308290506231166,0.001422258184807802,0.00478512808161989,0.7,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
lf,0.1,full_one_step,k1_5_uniform,in_support_k1_5,uniform,20,5,1,5,0.04486856019097726,0.03367642927045407,-0.01119213092052318,-0.015351392002867413,-0.006828042334440471,0.1,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
lf,0.1,full_one_step,k6_8_uniform,near_support_k6_8,uniform,20,3,6,8,0.21716928251032158,0.029082872175081948,-0.1880864103352396,-0.19348150326016061,-0.1826964523973309,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
lf,0.1,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,20,24,9,32,1.4238581471500664,0.020276040798853555,-1.4035821063512135,-1.405916716135468,-1.4010434033704329,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
lf,0.25,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,20,5,1,5,0.021961896285905794,0.03881437573537217,0.016852479449466384,0.014555427102103276,0.01908325970450829,1.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
lf,0.25,full_one_step,k1_5_uniform,in_support_k1_5,uniform,20,5,1,5,0.05403500200200837,0.05667601997819397,0.002641017976185605,-0.003729153121196309,0.008842794884397412,0.6,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
lf,0.25,full_one_step,k6_8_uniform,near_support_k6_8,uniform,20,3,6,8,0.24421581051158628,0.04695952757451803,-0.19725628293706826,-0.2078856125168521,-0.18852515115599563,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
lf,0.25,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,20,24,9,32,1.4306034368949971,0.026511153288230387,-1.4040922836067664,-1.4092749865770635,-1.3995337994086772,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
lf,0.4,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,20,5,1,5,0.02422748072345249,0.06172431416469011,0.03749683344123762,0.033572776767491444,0.04124230024285198,1.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
lf,0.4,full_one_step,k1_5_uniform,in_support_k1_5,uniform,20,5,1,5,0.059643859447980827,0.09288065259618007,0.033236793148199245,0.02245323737092231,0.043553479503588066,0.8,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
lf,0.4,full_one_step,k6_8_uniform,near_support_k6_8,uniform,20,3,6,8,0.29408492515390555,0.06267332843928831,-0.2314115967146173,-0.24545880536489287,-0.21917825359082152,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
lf,0.4,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,20,24,9,32,1.4536483348518552,0.025136750325794033,-1.4285115845260612,-1.4341157448593265,-1.4233285760446535,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
